
="",="(1)",="(2)",="(3)",="(4)"
="",="LPM",="Probit",="Probit AME",="Logit"

="main",="",="",="",=""
="Treatment Indicator (1=Treated)",="0.0292***",="0.147***",="0.0288***",="0.278***"
="",="(0.00999)",="(0.0500)",="(0.00969)",="(0.0953)"

="Household Size",="-0.00168",="-0.00839",="-0.00165",="-0.0162"
="",="(0.00433)",="(0.0217)",="(0.00427)",="(0.0417)"

="Female-Headed Household (1=Yes)",="0.0103",="0.0524",="0.0103",="0.0990"
="",="(0.00820)",="(0.0412)",="(0.00813)",="(0.0782)"

="Age of Household Head (years)",="-0.0000908",="-0.000511",="-0.000100",="-0.000878"
="",="(0.000422)",="(0.00216)",="(0.000426)",="(0.00408)"

="Education of Head (years)",="0.00152",="0.00755",="0.00148",="0.0147"
="",="(0.00168)",="(0.00843)",="(0.00167)",="(0.0161)"

="Land Owned (acres)",="-0.0178",="-0.0893",="-0.0175",="-0.170"
="",="(0.0286)",="(0.143)",="(0.0282)",="(0.271)"

="Constant",="0.871***",="1.138***",="",="1.918***"
="",="(0.0293)",="(0.149)",="",="(0.282)"

="Model",="LPM",="Probit",="Probit AME",="Logit (OR)"
="Observations",="5000",="5000",="5000",="5000"

="Standard errors in parentheses"
="Standard errors clustered at village level in parentheses."
="Logit column reports odds ratios."
="* p<0.10, ** p<0.05, *** p<0.01"
="* p<0.10, ** p<0.05, *** p<0.01"
