
="",="(1)",="(2)"
="",="No Control",="With Controls"

="Treatment Indicator (1=Treated)",="417.2***",="419.5***"
="",="(23.45)",="(23.28)"

="Household Size",="",="3.084"
="",="",="(10.28)"

="Female-Headed Household (1=Yes)",="",="-57.14**"
="",="",="(23.10)"

="Age of Household Head (years)",="",="2.063**"
="",="",="(0.985)"

="Education of Head (years)",="",="42.72***"
="",="",="(5.038)"

="Land Owned (acres)",="",="-14.50"
="",="",="(71.25)"

="District FE",="No",="No"
="Covariates",="No",="Yes"
="Observations",="5000",="5000"
="R-squared",="0.0596",="0.0750"

="Standard errors in parentheses"
="Standard errors in parentheses."
="* p<0.10, ** p<0.05, *** p<0.01"
="* p<0.10, ** p<0.05, *** p<0.01"
