
="",="Monthly Income (BDT)",="",="Per-Capita Expenditure (BDT)",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="No Controls",="Controls",="No Controls",="Controls"

="Treatment Indicator (1=Treated)",="417.2***",="417.5***",="173.2***",="172.9***"
="",="(23.45)",="(23.45)",="(17.96)",="(17.94)"

="Household Size",="",="5.562",="",="15.53*"
="",="",="(10.35)",="",="(7.920)"

="Female-Headed Household (1=Yes)",="",="-58.03*",="",="-54.77**"
="",="",="(23.27)",="",="(17.81)"

="Observations",="5000",="5000",="5000",="5000"
="R-squared",="0.0596",="0.0608",="0.0183",="0.0209"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
