
="",="(1)",="(2)",="(3)",="(4)"
="",="No Control",="With Controls",="District FE",="SE Clustered"

="Treatment Indicator (1=Treated)",="417.2***",="419.5***",="424.2***",="424.2***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="Household Size",="",="3.084",="3.108",="3.108"
="",="",="(0.764)",="(0.762)",="(0.768)"

="Female-Headed Household (1=Yes)",="",="-57.14**",="-57.16**",="-57.16**"
="",="",="(0.013)",="(0.013)",="(0.021)"

="Age of Household Head (years)",="",="2.063**",="2.078**",="2.078**"
="",="",="(0.036)",="(0.035)",="(0.033)"

="Education of Head (years)",="",="42.72***",="42.55***",="42.55***"
="",="",="(0.000)",="(0.000)",="(0.000)"

="Land Owned (acres)",="",="-14.50",="-15.00",="-15.00"
="",="",="(0.839)",="(0.833)",="(0.847)"

="Constant",="2269.5***",="2046.1***",="2024.9***",="2024.9***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="District FE",="No",="No",="Yes",="Yes"
="Covariates",="No",="No",="Yes",="Yes"
="SE Clustered",="No",="No",="No",="Village"
="Observations",="5000",="5000",="5000",="5000"
="R-squared",="0.0596",="0.0750",="0.0758",="0.0758"

="p-values in parentheses"
="p-values in parentheses."
="* p<0.10, ** p<0.05, *** p<0.01"
="* p<0.10, ** p<0.05, *** p<0.01"
