		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	With Control	With Control	With Control	With Control	With Control
						
treat	Treatment Indicator (1=Treated)	419.5***	419.5***	419.5***	419.5***	419.5***
		(0)	(0)	(0)	(0)	(0)
hh_size	Household Size	3.084	3.084	3.084	3.084	3.084
		(0.764)	(0.764)	(0.764)	(0.764)	(0.764)
hh_female_hh	Female-Headed Household (1=Yes)	-57.14**	-57.14**	-57.14**	-57.14**	-57.14**
		(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)
hh_age_head	Age of Household Head (years)	2.063**	2.063**	2.063**	2.063**	2.063**
		(0.0362)	(0.0362)	(0.0362)	(0.0362)	(0.0362)
hh_edu_head	Education of Head (years)	42.72***	42.72***	42.72***	42.72***	42.72***
		(0)	(0)	(0)	(0)	(0)
hh_land_owned	Land Owned (acres)	-14.50	-14.50	-14.50	-14.50	-14.50
		(0.839)	(0.839)	(0.839)	(0.839)	(0.839)
income_el	Income Endline (BDT/month)					
						
						
Observations		5,000	5,000	5,000	5,000	5,000
R-squared		0.075	0.075	0.075	0.075	0.075
District FE		No	No	No	No	No
Covariates		Yes	Yes	Yes	Yes	Yes
SE Clustered		No	No	No	No	No
pval in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
